"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2020","3.09","3.09","3.15","3.05","14.54M","2.32%"
"Apr 21, 2020","3.02","3.10","3.22","3.01","19.79M","-5.33%"
"Apr 20, 2020","3.19","3.18","3.35","3.05","18.69M","-0.62%"
"Apr 17, 2020","3.21","3.36","3.36","3.15","22.03M","-1.23%"
"Apr 16, 2020","3.25","3.30","3.41","3.20","37.80M","1.56%"
"Apr 15, 2020","3.20","2.95","3.20","2.88","27.53M","6.31%"
"Apr 14, 2020","3.01","3.15","3.16","2.92","36.48M","1.35%"
"Apr 13, 2020","2.97","2.67","2.97","2.63","38.42M","11.24%"
"Apr 09, 2020","2.67","2.82","2.82","2.63","32.81M","-2.55%"
"Apr 08, 2020","2.74","2.76","2.80","2.71","18.31M","1.48%"
"Apr 07, 2020","2.70","2.81","2.81","2.65","46.15M","9.31%"
"Apr 06, 2020","2.47","2.48","2.55","2.40","34.87M","2.92%"
"Apr 03, 2020","2.40","2.45","2.49","2.33","19.52M","0.42%"
"Apr 02, 2020","2.39","2.51","2.59","2.22","58.94M","-9.81%"
"Apr 01, 2020","2.65","2.63","2.76","2.60","17.15M","-4.68%"
"Mar 31, 2020","2.78","2.83","2.88","2.68","30.26M","2.58%"
"Mar 30, 2020","2.71","2.81","2.83","2.70","20.12M","-4.58%"
"Mar 27, 2020","2.84","2.85","2.89","2.77","25.13M","-3.07%"
"Mar 26, 2020","2.93","2.83","3.06","2.79","43.67M","6.16%"
"Mar 25, 2020","2.76","2.73","2.98","2.60","56.59M","6.15%"
"Mar 24, 2020","2.60","2.52","2.75","2.40","64.75M","9.70%"
"Mar 23, 2020","2.37","2.33","2.37","2.15","47.44M","-1.25%"
"Mar 20, 2020","2.40","2.49","2.64","2.35","50.53M","0.84%"
"Mar 19, 2020","2.38","2.31","2.55","2.23","35.50M","-2.06%"
"Mar 18, 2020","2.43","2.39","2.58","2.11","94.43M","-16.21%"
"Mar 17, 2020","2.90","2.97","3.12","2.79","34.86M","-1.36%"
"Mar 16, 2020","2.94","2.87","3.11","2.75","41.27M","-5.47%"
"Mar 13, 2020","3.11","3.28","3.33","2.99","41.77M","-0.64%"
"Mar 12, 2020","3.13","3.06","3.23","2.98","52.44M","-5.72%"
"Mar 11, 2020","3.32","3.40","3.53","3.26","31.60M","-5.14%"
"Mar 10, 2020","3.50","3.49","3.54","3.29","34.93M","6.38%"
"Mar 09, 2020","3.29","3.01","3.54","2.99","55.31M","-7.32%"
"Mar 06, 2020","3.55","3.62","3.66","3.42","61.24M","-4.57%"
"Mar 05, 2020","3.72","3.78","3.89","3.68","72.70M","-3.88%"
"Mar 04, 2020","3.87","4.03","4.07","3.77","49.47M","-4.68%"
"Mar 03, 2020","4.06","4.08","4.21","3.95","47.64M","-1.22%"
"Mar 02, 2020","4.11","4.15","4.19","3.90","56.06M","-0.48%"
"Feb 28, 2020","4.13","3.96","4.14","3.87","63.78M","-0.24%"
"Feb 27, 2020","4.14","4.09","4.30","3.92","77.85M","-4.61%"
"Feb 26, 2020","4.34","4.50","4.71","4.30","69.73M","-1.36%"
"Feb 25, 2020","4.40","5.18","5.19","4.24","206.26M","13.40%"
"Feb 24, 2020","3.88","3.79","3.94","3.76","56.25M","-4.90%"
"Feb 21, 2020","4.08","4.20","4.20","4.02","40.48M","-4.23%"
"Feb 20, 2020","4.26","4.10","4.40","4.01","86.87M","4.41%"
"Feb 19, 2020","4.08","3.93","4.10","3.86","73.26M","7.37%"
"Feb 18, 2020","3.80","3.90","3.98","3.76","47.96M","0.80%"
"Feb 14, 2020","3.77","4.02","4.04","3.75","69.66M","-6.45%"
"Feb 13, 2020","4.03","3.95","4.05","3.86","42.41M","-0.98%"
"Feb 12, 2020","4.07","4.00","4.20","3.98","50.98M","2.78%"
"Feb 11, 2020","3.96","3.83","4.05","3.80","54.10M","2.33%"
"Feb 10, 2020","3.87","3.67","3.91","3.62","67.16M","1.57%"
"Feb 07, 2020","3.81","4.02","4.02","3.74","80.78M","-6.62%"
"Feb 06, 2020","4.08","4.20","4.33","4.05","75.64M","-7.06%"
"Feb 05, 2020","4.39","4.37","4.48","4.13","73.63M","-2.66%"
"Feb 04, 2020","4.51","4.29","4.70","4.16","123.64M","11.08%"
"Feb 03, 2020","4.06","3.54","4.11","3.52","74.05M","7.41%"
"Jan 31, 2020","3.78","4.02","4.04","3.67","77.92M","-7.35%"
"Jan 30, 2020","4.08","4.24","4.38","4.01","75.01M","-4.45%"
"Jan 29, 2020","4.27","4.23","4.33","4.02","54.69M","1.43%"
"Jan 28, 2020","4.21","4.25","4.27","4.03","48.98M","4.99%"
"Jan 27, 2020","4.01","3.98","4.35","3.84","102.03M","-13.95%"
"Jan 24, 2020","4.66","5.00","5.06","4.51","65.54M","-5.28%"
"Jan 23, 2020","4.92","4.57","4.95","4.31","102.54M","2.71%"
"Jan 22, 2020","4.79","5.42","5.65","4.69","207.13M","-7.35%"
"Jan 21, 2020","5.17","4.60","5.29","4.52","181.42M","10.71%"
"Jan 17, 2020","4.67","4.51","4.71","4.46","109.60M","6.86%"
"Jan 16, 2020","4.37","3.99","4.40","3.91","99.34M","1.86%"
"Jan 15, 2020","4.29","4.19","4.48","4.00","236.36M","14.10%"
"Jan 14, 2020","3.76","3.70","3.82","3.61","55.27M","1.62%"
"Jan 13, 2020","3.70","3.71","3.73","3.52","59.98M","5.41%"
"Jan 10, 2020","3.51","3.49","3.58","3.40","35.76M","1.45%"
"Jan 09, 2020","3.46","3.44","3.58","3.33","54.72M","2.06%"
"Jan 08, 2020","3.39","3.14","3.49","3.13","65.26M","4.63%"
"Jan 07, 2020","3.24","3.70","3.73","3.21","109.30M","-11.96%"
"Jan 06, 2020","3.68","4.19","4.24","3.66","106.85M","-3.92%"
"Jan 03, 2020","3.83","3.50","3.90","3.48","82.98M","2.96%"
"Jan 02, 2020","3.72","4.10","4.10","3.61","103.90M","-7.46%"
"Dec 31, 2019","4.02","4.15","4.42","3.82","215.20M","8.06%"
"Dec 30, 2019","3.72","2.92","4.87","2.88","433.83M","53.72%"
"Dec 27, 2019","2.42","2.54","2.55","2.41","37.70M","-3.59%"
"Dec 26, 2019","2.51","2.45","2.52","2.35","44.20M","-0.79%"
"Dec 24, 2019","2.53","2.63","2.63","2.45","32.03M","-5.24%"
"Dec 23, 2019","2.67","2.74","2.76","2.65","28.63M","-0.74%"
"Dec 20, 2019","2.69","2.65","2.72","2.63","51.01M","2.67%"
"Dec 19, 2019","2.62","2.69","2.73","2.61","36.39M","-0.38%"
"Dec 18, 2019","2.63","2.58","2.67","2.54","31.84M","1.54%"
"Dec 17, 2019","2.59","2.54","2.63","2.50","45.71M","4.44%"
"Dec 16, 2019","2.48","2.44","2.55","2.39","36.96M","3.77%"
"Dec 13, 2019","2.39","2.31","2.43","2.29","37.27M","5.29%"
"Dec 12, 2019","2.27","2.30","2.33","2.26","22.52M","0.44%"
"Dec 11, 2019","2.26","2.26","2.32","2.23","20.36M","-0.44%"
"Dec 10, 2019","2.27","2.20","2.28","2.14","25.26M","2.25%"
"Dec 09, 2019","2.22","2.21","2.25","2.11","31.82M","-1.77%"
"Dec 06, 2019","2.26","2.32","2.34","2.20","32.06M","-0.44%"
"Dec 05, 2019","2.27","2.53","2.57","2.25","53.34M","-6.20%"
"Dec 04, 2019","2.42","2.42","2.58","2.41","46.92M","0.83%"
